Txhash,Blockno,UnixTimestamp,DateTime,From,To,Quantity,Method
0x8778f9e4a1de2db7c684f3550156a715e02041ef7ae7effb79fcbb4bf413e71a,16086927,1669861187,2022-12-01 02:19:47,0xe66b31678d6c16e9ebf358268a790b763c133750,0xa1af3bb298673f46cf1299efc7e73e7b2e2d20b8,354.271188024,Proxied Swap
0x75c0c20e6b708f192990d7ec6d0dcf914a1fb8c0a7fdf48abf716d3820116e46,16086947,1669861427,2022-12-01 02:23:47,0x864a90598964a544db130f79566189f4e5c900a5,0xa1af3bb298673f46cf1299efc7e73e7b2e2d20b8,2,044.969167423,Multicall
0xddf883fd5cb3ac3382001e14c31d3686e397836f9963b578575c3d761955e2aa,16086951,1669861475,2022-12-01 02:24:35,0xa1af3bb298673f46cf1299efc7e73e7b2e2d20b8,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,7,358.949562238,Multicall
0xddf883fd5cb3ac3382001e14c31d3686e397836f9963b578575c3d761955e2aa,16086951,1669861475,2022-12-01 02:24:35,0x216fb666dd61600e74f7b2ca25a38aa99db1a4e9,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,21,946.295955975,Multicall
0xddf883fd5cb3ac3382001e14c31d3686e397836f9963b578575c3d761955e2aa,16086951,1669861475,2022-12-01 02:24:35,0x62979dff3b5eb032ecba1a5934d1fd4367bb695c,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,7,328.072610814,Multicall
0xddf883fd5cb3ac3382001e14c31d3686e397836f9963b578575c3d761955e2aa,16086951,1669861475,2022-12-01 02:24:35,0x67cea36eeb36ace126a3ca6e21405258130cf33c,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,110,397.701976712,Multicall
0xddf883fd5cb3ac3382001e14c31d3686e397836f9963b578575c3d761955e2aa,16086951,1669861475,2022-12-01 02:24:35,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0xd082239e2592dd3ae19727fc25783f0ad0bf69a7,147,031.020105739,Multicall
0x48ab0c812693d03d9235a3b3cf1e448bc1de61a34f10adc5e5b58c4bca54fda0,16086954,1669861511,2022-12-01 02:25:11,0x75e89d5979e4f6fba9f97c104c2f0afb3f1dcb88,0x0000000048429ba5463a4a9aa866460087dcebd0,18,081.19,Transfer
0x580d91f43bb6c5618eb0cc17e506e1c4809af9618e95bdee65510f954f59dfab,16086954,1669861511,2022-12-01 02:25:11,0x0000000048429ba5463a4a9aa866460087dcebd0,0x67cea36eeb36ace126a3ca6e21405258130cf33c,18,081.17191881,Unoswap To
0xbbefa6a901de0e21f8f27fce40029004cb0aaebb5374ff60ec0df4a868180993,16086958,1669861559,2022-12-01 02:25:59,0xa1af3bb298673f46cf1299efc7e73e7b2e2d20b8,0x74de5d4fcbf63e00296fd95d33236b9794016631,252.861726261,Swap
0xbbefa6a901de0e21f8f27fce40029004cb0aaebb5374ff60ec0df4a868180993,16086958,1669861559,2022-12-01 02:25:59,0x74de5d4fcbf63e00296fd95d33236b9794016631,0x33bba3eb44b89c905095b03742544d8e891cd95c,252.861726261,Swap
0x519fd3bb7aab856c4abd8fb137addf83b52bb80a0e5d6705adc3da54d507425b,16086973,1669861739,2022-12-01 02:28:59,0xc4c6c27b2259794a1dd35d438e703281c0e4a004,0x216fb666dd61600e74f7b2ca25a38aa99db1a4e9,5,000,Multicall
0x020bfc9f02ec99c1fa094341c52c3e4990064f75d5514cc0c79bf9df2ebaa4b9,16086975,1669861763,2022-12-01 02:29:23,0x7833d151871a2c8ce2cd48ceaa194d3d82fdb523,0x67cea36eeb36ace126a3ca6e21405258130cf33c,5,610,Multicall
0xa0f8b3db97b3761b4f2d8415a911a2f15a5f3486767b2161be452f1c99b695fe,16086989,1669861931,2022-12-01 02:32:11,0x9ffe9d5e15c7ae6f00ef0a01bcd0bfb7b817cba5,0x75e89d5979e4f6fba9f97c104c2f0afb3f1dcb88,10,000,Transfer
0xc4cb469ce4d65e1b426f341a28b85e1d0a66589c2f28a9b2594433c17f40c215,16087005,1669862123,2022-12-01 02:35:23,0xa1af3bb298673f46cf1299efc7e73e7b2e2d20b8,0x74de5d4fcbf63e00296fd95d33236b9794016631,1,262.573502857,Swap
0xc4cb469ce4d65e1b426f341a28b85e1d0a66589c2f28a9b2594433c17f40c215,16087005,1669862123,2022-12-01 02:35:23,0x74de5d4fcbf63e00296fd95d33236b9794016631,0xad91770c1e6b8d2937317ce589a7d31d856b4ae9,1,262.573502857,Swap
0xcbc8bb9554f8125ba4a25d146fc8b92b50b96410daa1fd3d702711a9236ea108,16087022,1669862327,2022-12-01 02:38:47,0xd6994e89890f31ef0ed6fb9a150c380f508d9701,0xa1af3bb298673f46cf1299efc7e73e7b2e2d20b8,1,923.226076877,Multicall
0x92d5e90d4f394a4d820015c0fcfc00ce20ee57c71d756054378fed9ebebb5dbd,16087044,1669862591,2022-12-01 02:43:11,0xa1af3bb298673f46cf1299efc7e73e7b2e2d20b8,0x2bc7e5daeb0ff7e5633934e8edb13406708b5584,2,547.496418962,Multicall
